gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,eating
-1.89,-0.98,0.37,0.36,-0.24,0.90,1
-1.04,-0.85,0.37,0.37,-0.26,0.91,1
-2.87,-0.73,0.06,0.37,-0.23,0.91,1
-2.38,-0.37,-0.37,0.37,-0.23,0.92,1
-1.77,0.00,-0.85,0.38,-0.22,0.91,1
-0.73,0.49,-1.40,0.38,-0.22,0.90,1
0.24,0.85,-1.89,0.38,-0.23,0.90,1
0.61,1.04,-2.01,0.38,-0.23,0.91,1
0.43,1.16,-2.20,0.37,-0.25,0.91,1
-0.18,1.40,-2.44,0.37,-0.25,0.90,1
-1.46,1.83,-2.20,0.36,-0.25,0.91,1
-2.20,2.20,-1.83,0.36,-0.25,0.91,1
-2.69,2.14,-2.01,0.36,-0.25,0.91,1
-2.56,2.32,-2.01,0.37,-0.23,0.91,1
-2.14,2.44,-1.83,0.37,-0.23,0.91,1
-1.04,2.69,-2.08,0.37,-0.23,0.90,1
-0.37,2.87,-2.01,0.38,-0.23,0.89,1
-0.18,2.69,-1.77,0.38,-0.24,0.88,1
-0.55,2.20,-1.46,0.38,-0.24,0.88,1
-1.04,1.83,-1.34,0.38,-0.24,0.88,1
-1.28,1.46,-1.34,0.38,-0.23,0.88,1
-1.10,1.10,-1.46,0.37,-0.24,0.89,1
-0.55,0.92,-1.28,0.37,-0.25,0.90,1
-1.22,1.34,-1.22,0.36,-0.25,0.91,1
-1.16,1.46,-0.85,0.36,-0.24,0.91,1
-1.10,1.65,-0.92,0.36,-0.23,0.90,1
-0.55,1.59,-0.85,0.36,-0.23,0.90,1
0.43,1.59,-0.92,0.36,-0.24,0.90,1
0.61,1.59,-0.49,0.36,-0.24,0.89,1
0.85,1.46,-0.24,0.36,-0.23,0.89,1
0.67,0.85,-0.06,0.36,-0.23,0.90,1
0.43,0.67,0.12,0.36,-0.23,0.90,1
1.04,0.18,0.06,0.36,-0.23,0.90,1
1.65,-0.18,0.24,0.35,-0.23,0.91,1
1.53,-0.06,0.31,0.34,-0.23,0.91,1
1.22,0.00,0.49,0.35,-0.23,0.91,1
1.40,-0.12,0.55,0.34,-0.23,0.91,1
1.71,0.12,0.73,0.34,-0.22,0.90,1
2.01,-0.06,0.37,0.34,-0.21,0.90,1
2.69,0.12,0.18,0.35,-0.22,0.89,1
2.38,0.24,-0.37,0.35,-0.23,0.89,1
1.46,-0.06,-0.61,0.35,-0.24,0.89,1
0.37,0.00,-0.79,0.35,-0.24,0.90,1
0.06,0.12,-0.85,0.35,-0.24,0.91,1
0.24,-0.06,-1.46,0.35,-0.24,0.91,1
0.92,0.37,-1.46,0.34,-0.23,0.91,1
1.89,0.67,-1.59,0.34,-0.25,0.93,1
2.56,1.16,-1.46,0.33,-0.27,0.95,1
2.26,2.32,-0.92,0.31,-0.28,0.96,1
1.53,3.36,-0.61,0.28,-0.31,0.99,1
0.18,5.31,-1.04,0.25,-0.35,1.01,1
0.18,7.26,-1.16,0.24,-0.35,1.00,1
0.31,8.61,-1.89,0.26,-0.36,0.97,1
1.10,9.77,-3.23,0.34,-0.40,0.98,1
2.62,10.93,-3.54,0.47,-0.42,0.97,1
3.48,11.96,-3.36,0.72,-0.44,0.93,1
5.49,12.15,-2.75,1.09,-0.45,0.88,1
7.32,10.44,-0.85,1.57,-0.42,0.86,1
9.89,8.73,2.38,2.12,-0.34,0.83,1
9.52,5.49,8.54,2.61,-0.18,0.80,1
10.25,0.73,19.96,3.02,0.07,0.87,1
8.79,6.90,41.69,3.28,0.33,1.00,1
1.16,24.90,72.57,3.40,0.25,1.12,1
-6.35,49.62,107.48,3.41,0.14,0.97,1
-22.64,61.40,140.08,3.19,0.20,0.93,1
-42.54,62.32,163.15,2.91,0.18,0.83,1
-64.64,55.48,173.22,2.66,0.17,0.84,1
-83.74,39.92,175.90,2.48,0.33,0.75,1
-95.83,15.44,167.05,2.27,0.42,0.63,1
-94.54,-16.11,149.05,1.90,0.60,0.46,1
-79.04,-59.69,119.75,1.37,0.69,0.41,1
-67.02,-100.46,78.49,0.80,0.44,0.46,1
-56.64,-133.30,32.90,0.25,0.10,0.59,1
-42.42,-168.76,-7.69,-0.39,-0.05,0.64,1
-20.51,-204.90,-46.51,-1.01,-0.17,0.66,1
-12.76,-231.20,-85.69,-1.70,-0.59,1.18,1
10.13,-239.07,-113.53,-2.71,-1.13,1.21,1
