gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,eating
29.72,-229.49,-119.93,-3.28,-1.47,0.98,1
12.94,-197.88,-106.14,-3.08,-1.64,0.95,1
-12.76,-136.72,-80.44,-2.68,-1.61,1.10,1
-25.39,-69.64,-49.32,-2.28,-1.59,1.21,1
-46.14,-27.10,-14.40,-1.51,-1.40,0.90,1
-53.04,-52.49,27.65,-1.22,-0.82,0.66,1
-74.83,-65.00,25.82,-1.07,-0.21,0.50,1
-73.06,-60.12,25.02,-0.89,0.35,0.39,1
-54.99,-42.18,20.39,-0.67,0.59,0.35,1
-39.37,-22.52,14.16,-0.48,0.66,0.56,1
-15.56,-8.00,4.09,-0.39,0.64,0.53,1
5.19,-1.34,-8.61,-0.29,0.64,0.44,1
6.59,-4.88,-23.19,-0.33,0.49,0.54,1
14.65,-1.77,-29.24,-0.22,0.34,0.63,1
5.68,-6.59,-30.64,-0.32,0.22,0.64,1
-0.61,-6.04,-32.04,-0.32,0.17,0.59,1
-10.93,-6.71,-30.70,-0.26,0.27,0.60,1
-13.12,-7.39,-26.73,-0.24,0.32,0.73,1
-16.05,-4.58,-28.81,-0.27,0.11,0.76,1
-17.52,-2.56,-31.07,-0.23,-0.01,0.73,1
-18.68,-5.37,-29.30,-0.22,0.03,0.83,1
-14.34,-5.25,-29.72,-0.22,-0.04,0.82,1
-7.45,-2.81,-30.64,-0.15,-0.11,0.71,1
-2.32,-3.85,-27.95,0.00,-0.02,0.76,1
3.48,-6.59,-25.02,0.00,0.01,0.85,1
6.10,-3.78,-25.15,0.06,-0.13,0.80,1
5.62,-4.03,-21.06,0.09,-0.11,0.85,1
5.98,-6.84,-17.70,0.05,-0.08,0.89,1
5.43,-7.39,-18.55,0.03,-0.13,0.88,1
8.79,-7.81,-17.52,0.05,-0.10,0.87,1
13.98,-8.73,-17.03,0.07,-0.04,0.94,1
21.67,-7.63,-16.91,0.09,-0.06,0.96,1
24.96,-4.94,-17.09,0.13,-0.11,0.94,1
26.37,-4.39,-14.47,0.13,-0.08,0.94,1
22.52,-5.49,-12.82,0.15,-0.08,0.88,1
17.70,-9.40,-12.39,0.12,-0.10,0.92,1
17.52,-13.31,-11.41,0.05,-0.03,0.96,1
19.78,-14.47,-11.17,0.05,-0.03,0.94,1
19.96,-12.94,-12.88,0.10,-0.14,0.97,1
21.97,-13.67,-10.56,0.08,-0.15,1.04,1
